index,camera_time,body_time,requested_angle,wheel_angle,wheel_read_angle,applied_steer,speed_m_s,throttle,brake
0,0.03999999910593033,0.04000000000000063,0.0,0.0008911097717867299,0.0,0.0,0.005026712120368134,0.9300000071525574,0.0
1,0.07999999821186066,0.07999999999999935,0.0,0.0009812741044901536,0.0008911097717867299,0.00013709381164517254,0.004356410741071517,0.92849200963974,0.0
2,0.11999999731779099,0.11999999999999494,0.0,0.0014168328835379212,0.0009812741044901536,0.0001509652502136305,0.0035632172900000314,0.9286930561065674,0.0
3,0.1599999964237213,0.15999999999999054,0.0,0.0014677955085694219,0.0014168328835379212,0.00021797428780701011,0.0027778792622786984,0.9289310574531555,0.0
4,0.19999999552965164,0.19999999999998613,0.0,0.0014625233189971315,0.0014677955085694219,0.00022581469966098666,0.0020705482298732435,0.9291666150093079,0.0
5,0.23999999463558197,0.23999999999998173,0.0,0.001435361073387636,0.0014625233189971315,0.00022500359045807272,0.0014737694102030141,0.9293788075447083,0.0
6,0.2799999937415123,0.2799999999999773,0.0,0.001419628634109603,0.001435361073387636,0.00022082477516960353,0.0009977803182588387,0.9295578598976135,0.0
7,0.3199999928474426,0.3199999999999729,0.0,0.0014269202399324271,0.001419628634109603,0.00021840439876541495,0.0006344961277504652,0.9297006726264954,0.0
8,0.35999999195337296,0.3599999999999685,0.0,0.0014303071299365364,0.0014269202399324271,0.00021952619135845453,0.00036842097204883606,0.9298096299171448,0.0
9,0.3999999910593033,0.3999999999999641,0.0,0.0014243915971357017,0.0014303071299365364,0.00022004725178703666,0.00018381011192159893,0.9298895001411438,0.0
10,0.4399999901652336,0.4399999999999597,0.0,0.0014217188140823133,0.0014243915971357017,0.0002191371750086546,1.3705953629432757e-05,0.9299448728561401,0.0
11,0.47999998927116394,0.4799999999999553,0.0,0.0014230561976520928,0.0014217188140823133,0.0002187259669881314,4.6641386344215134e-05,0.9299958944320679,0.0
12,0.5199999883770943,0.519999999999951,0.0,0.0014247004226835194,0.0014230561976520928,0.00021893171651754528,6.0896423788549955e-05,0.9299860000610352,0.0
13,0.5599999874830246,0.5599999999999465,0.0,0.0014255988845460522,0.0014247004226835194,0.0002191846870118752,6.289819202294014e-05,0.9299817085266113,0.0
14,0.5999999865889549,0.5999999999999421,0.0,0.0014257982019489585,0.0014255988845460522,0.00021932290110271424,0.43937859790268513,0.9299811124801636,0.0
15,0.6399999856948853,0.6399999999999377,0.0,0.0014258481268228723,0.0014257982019489585,0.00021935357654001564,0.8537230759039225,0.7981864213943481,0.0
16,0.6799999848008156,0.6799999999999333,0.0,0.0014261059688591704,0.0014258481268228723,0.000219361245399341,1.1045165130620602,0.6738830804824829,0.0
17,0.7199999839067459,0.7199999999999289,0.0,0.0014267355640755416,0.0014261059688591704,0.00021940091392025352,1.3152745923743865,0.598645031452179,0.0
18,0.7599999830126762,0.7599999999999245,0.0,0.00142679374755596,0.0014267355640755416,0.00021949778601992875,1.428828074562055,0.5354176163673401,0.0
19,0.7999999821186066,0.7999999999999201,0.0,0.0014267088138403918,0.00142679374755596,0.0002195067354477942,1.5263238984466385,0.5013515949249268,0.0
20,0.8399999812245369,0.8399999999999157,0.0,0.0014266377074937664,0.0014267088138403918,0.00021949366782791913,1.5989985877273813,0.4721028208732605,0.0
21,0.8799999803304672,0.8799999999999113,0.0,0.0014266052814396182,0.0014266377074937664,0.0002194827247876674,1.6567089808880135,0.4503004252910614,0.0
22,0.9199999794363976,0.9199999999999069,0.0,0.0014265744164146503,0.0014266052814396182,0.00021947773348074406,1.705453615448251,0.4329873025417328,0.0
23,0.9599999785423279,0.9599999999999025,0.0,0.001426621238463141,0.0014265744164146503,0.00021947298955637962,1.7474313393932903,0.41836392879486084,0.0
24,0.9999999776482582,0.9999999999998981,0.0,0.0014265299401135187,0.001426621238463141,0.00021948019275441766,1.7835276568860097,0.40577059984207153,0.0
25,1.0399999767541885,1.0399999999999825,0.0,0.0014266522493238823,0.0014265299401135187,0.00021946615015622228,1.8141788768393305,0.3949417173862457,0.0
26,1.0799999758601189,1.080000000000067,0.0,0.001426584767409514,0.0014266522493238823,0.00021948496578261256,1.8399607848590036,0.3857463300228119,0.0
27,1.1199999749660492,1.1200000000001513,0.0,0.0014265603563666026,0.001426584767409514,0.0002194745757151395,1.861557294338112,0.3780117630958557,0.0
28,1.1599999740719795,1.1600000000002357,0.0,0.0014265597629068382,0.0014265603563666026,0.0002194708213210106,1.8796404044133068,0.3715327978134155,0.0
29,1.1999999731779099,1.2000000000003201,0.0,0.0014265538497691052,0.0014265597629068382,0.00021947073400951922,1.894797955683983,0.36610788106918335,0.0
30,1.2399999722838402,1.2400000000004046,0.0,0.0014265587296202,0.0014265538497691052,0.00021946981723885983,1.9075047664980724,0.3615606129169464,0.0
31,1.2799999713897705,1.280000000000489,0.0,0.0014264870602622394,0.0014265587296202,0.0002194705739384517,1.9181684183437895,0.3577485680580139,0.0
32,1.3199999704957008,1.3200000000005734,0.0,0.001426499553077269,0.0014264870602622394,0.0002194595435867086,1.9271252039857156,0.35454946756362915,0.0
33,1.3599999696016312,1.3600000000006578,0.0,0.001426535082485352,0.001426499553077269,0.00021946146443951875,1.9346488311808094,0.35186243057250977,0.0
34,1.3999999687075615,1.4000000000007422,0.0,0.001426545442490882,0.001426535082485352,0.00021946693595964462,1.940975696548962,0.34960535168647766,0.0
35,1.4399999678134918,1.4400000000008266,0.0,0.0014265566014395688,0.001426545442490882,0.00021946853667031974,1.9462936759845364,0.3477073013782501,0.0
