condition,seed,kind,expected_beep,beep_count,beep_onsets_seconds,reaction_seconds,false_beep,pressed_seconds,passed,connected,maximum_button_travel,maximum_wheel_angle,all_quiet
learned,130000,wait_then_green,True,1,[4.366666666666666],0.12342282099030744,False,0.6499999999999977,True,True,0.8871358455176609,0.0016157728888334492,False
learned,130001,wait_then_green,True,1,[3.566666666666667],0.15982164712559266,False,0.6499999999999977,True,True,0.8831963059780967,0.0016157728888334508,False
learned,130002,wait_then_green,True,1,[4.066666666666666],0.08568667639010208,False,0.6499999999999977,True,True,0.8827977990608797,0.0016157728888334503,False
learned,130003,wait_then_green,True,1,[3.8666666666666667],0.15713131459568563,False,0.6499999999999977,True,True,0.8878795986333078,0.0016157728888334497,False
learned,130004,wait_then_green,True,1,[3.55],0.06661333242288991,False,0.6666666666666643,True,True,0.8910314455748539,0.0016157728888334525,False
learned,130005,wait_then_green,True,1,[3.966666666666667],0.1546599221688405,False,0.6499999999999977,True,True,0.8784796972812071,0.00161577288883345,False
learned,130006,wait_then_green,True,1,[3.466666666666667],0.08750238272613453,False,0.6499999999999977,True,True,0.8800885694691735,0.0016157728888334512,False
learned,130007,wait_then_green,True,1,[3.966666666666667],0.1320000884307122,False,0.6499999999999977,True,True,0.8824355730162854,0.0016157728888334516,False
learned,130008,wait_then_green,True,1,[4.266666666666667],0.1456463579355507,False,0.6499999999999977,True,True,0.886823758761269,0.001615772888833449,False
learned,130009,wait_then_green,True,2,"[4.266666666666667, 4.9]",0.11582041540214139,False,0.6333333333333311,False,True,0.8839594048360705,0.001615772888833453,False
learned,130010,wait_then_green,True,1,[3.466666666666667],0.13584366838454454,False,0.6499999999999977,True,True,0.8869847298105178,0.0016157728888334477,False
learned,130011,wait_then_green,True,1,[4.366666666666666],0.15081707853243564,False,0.6499999999999977,True,True,0.8886862692888868,0.001615772888833451,False
learned,130012,wait_then_green,True,1,[4.366666666666666],0.08102465608309384,False,0.6499999999999977,True,True,0.8887312887659784,0.001615772888833449,False
learned,130013,wait_then_green,True,1,[4.266666666666667],0.13048946175761333,False,0.6499999999999977,True,True,0.8880737050661879,0.00161577288883345,False
learned,130014,wait_then_green,True,1,[3.7666666666666666],0.11041626223670997,False,0.6499999999999977,True,True,0.8848252939110454,0.0016157728888334505,False
learned,130015,wait_then_green,True,1,[3.8666666666666667],0.08639266283990388,False,0.6499999999999977,True,True,0.8885725731372813,0.00161577288883345,False
learned,130016,wait_then_green,True,1,[4.466666666666667],0.09703315404022295,False,0.6499999999999977,True,True,0.8876730367285456,0.0016157728888334497,False
learned,130017,wait_then_green,True,1,[4.466666666666667],0.11859774418670543,False,0.6499999999999977,True,True,0.8878434322448209,0.00161577288883345,False
learned,130018,wait_then_green,True,1,[3.6666666666666665],0.14099309559178552,False,0.6499999999999977,True,True,0.8884336461441591,0.0016157728888334482,False
learned,130019,wait_then_green,True,1,[3.8666666666666667],0.10659323475547833,False,0.6499999999999977,True,True,0.88531423863431,0.0016157728888334497,False
learned,130020,wait_then_green,True,1,[3.7666666666666666],0.16118334968086234,False,0.6499999999999977,True,True,0.8803973237536246,0.0016157728888334492,False
learned,130021,wait_then_green,True,2,"[3.8666666666666667, 4.5]",0.09774986353433546,False,0.6333333333333311,False,True,0.8811109112141396,0.0016157728888334497,False
learned,130022,wait_then_green,True,1,[3.466666666666667],0.0743946666868438,False,0.6499999999999977,True,True,0.8865491692231844,0.0016157728888334512,False
learned,130023,wait_then_green,True,1,[3.966666666666667],0.1411090610505088,False,0.6499999999999977,True,True,0.8905661924469762,0.0016157728888334473,False
learned,130024,wait_then_green,True,1,[3.3666666666666667],0.15483103287702393,False,0.6499999999999977,True,True,0.8856268248806953,0.0016157728888334475,False
learned,130025,wait_then_green,True,1,[3.6666666666666665],0.10292593882395717,False,0.6499999999999977,True,True,0.8823109055310515,0.0016157728888334469,False
learned,130026,wait_then_green,True,1,[4.366666666666666],0.1079032189229352,False,0.6499999999999977,True,True,0.8876050109477125,0.0016157728888334501,False
learned,130027,wait_then_green,True,1,[3.466666666666667],0.08847983636041157,False,0.6499999999999977,True,True,0.8845069872913207,0.0016157728888334508,False
learned,130028,wait_then_green,True,1,[3.566666666666667],0.11316623903614698,False,0.6499999999999977,True,True,0.8828085680802615,0.001615772888833452,False
learned,130029,wait_then_green,True,1,[3.3666666666666667],0.12846480606227795,False,0.6499999999999977,True,True,0.8875879517580034,0.0016157728888334501,False
learned,131000,no_car,False,0,[],,False,0.0,True,True,0.18237473418197508,0.0016157728888334482,True
learned,131001,no_car,False,0,[],,False,0.0,True,True,0.24336435938866535,0.001615772888833449,True
learned,131002,no_car,False,0,[],,False,0.0,True,True,0.2981581068384006,0.0016157728888334482,True
learned,131003,no_car,False,0,[],,False,0.0,True,True,0.24863540908286713,0.001615772888833448,True
