controller,seed,success,collision,position_error_m,yaw_error_deg,inside_bay,time_seconds,direction_changes
learned,34000,False,False,6.028101317856972,2.9962387084656257,False,45.0,69
learned,34001,False,False,2.2440563655042465,20.993377685516407,False,45.0,33
learned,34002,False,True,3.1891020075730543,0.8861236571960944,False,32.0,19
learned,34003,False,False,6.214830113348628,1.9059524535828132,False,45.0,61
learned,34004,False,False,2.250219519303605,20.34996032711797,False,45.0,37
learned,34005,False,False,2.524293562056129,3.904396057098438,False,45.0,3
learned,34006,False,True,3.8000771332577234,11.504898071258594,False,33.15,17
learned,34007,False,False,5.775726466364338,4.325103759735157,False,45.0,60
learned,34008,False,False,2.141153492617371,16.939636230438282,False,45.0,28
learned,34009,False,False,2.2080112307564153,21.054649352996876,False,45.0,45
learned,34010,False,False,2.4165895065199607,21.518363952606254,False,45.0,37
learned,34011,False,False,5.593659349052451,27.446403503448437,False,45.0,3
learned,34012,False,True,3.5722692455720333,6.321182250946094,False,21.6,3
learned,34013,False,True,4.2898514344425,1.5872879028015632,False,23.3,5
learned,34014,False,False,2.0660516306807395,19.440124511688285,False,45.0,33
learned,34015,False,True,3.593093784612048,3.2449493407898444,False,22.85,5
learned,34016,False,False,6.500957596189619,3.023040771453907,False,45.0,75
learned,34017,False,False,2.6104587917866144,18.995063781707813,False,45.0,37
learned,34018,False,False,6.52403570350029,2.8343734740906257,False,45.0,65
learned,34019,False,False,2.7554570471355566,21.449340820282032,False,45.0,39
learned,34020,False,True,3.8769419898612747,15.667724609344534,False,19.85,3
learned,34021,False,False,6.349380179419511,4.032279968231251,False,45.0,51
learned,34022,False,False,6.207679243181545,4.226387023895313,False,45.0,67
learned,34023,False,False,2.3075087630505533,21.473098754852344,False,45.0,37
learned,34024,False,False,2.605511539804063,15.999588012664844,False,45.0,29
learned,34025,False,False,2.8907462538324857,1.8159103393250007,False,45.0,45
learned,34026,False,False,6.150188901531401,3.8665542602234386,False,45.0,60
learned,34027,False,False,2.205151813331938,17.971321105926567,False,45.0,32
learned,34028,False,False,2.605903735775787,17.859268188446094,False,45.0,32
learned,34029,False,False,2.8114052006527483,28.14015960690313,False,45.0,51
learned,34030,False,True,3.683608458564308,5.717781066864063,False,18.1,3
learned,34031,False,False,5.662765029542371,6.521087646453907,False,45.0,57
learned,34032,False,False,1.7008268917914546,17.058105468719532,False,45.0,31
learned,34033,False,False,1.9730385465522666,19.213752746551563,False,45.0,32
learned,34034,False,False,2.6304906223145563,22.140197753875782,False,45.0,39
learned,34035,False,False,6.028420390766231,24.50765991213984,False,45.0,21
learned,34036,False,False,2.4670083468825776,18.19334411618047,False,45.0,32
learned,34037,False,False,2.1437354925002174,15.806976318328909,False,45.0,30
learned,34038,False,False,6.357928747067501,27.65973281863399,False,45.0,3
learned,34039,False,False,2.2594659685131613,18.884582519500782,False,45.0,33
learned,34040,False,True,3.023629412160474,23.615921020477344,False,38.800000000000004,29
learned,34041,False,False,6.579130682216092,1.602111816375782,False,45.0,72
learned,34042,False,False,2.0713228526271226,18.878372192352344,False,45.0,35
learned,34043,False,False,1.8771115908977951,19.835609436004688,False,45.0,31
learned,34044,False,False,6.067391656113973,5.850563049285938,False,45.0,60
learned,34045,False,True,3.52028396101929,0.6655731200867194,False,19.8,3
learned,34046,False,False,2.204775946582207,19.415916442840626,False,45.0,31
learned,34047,False,False,2.205992807082917,21.587310790985157,False,45.0,39
learned,34048,False,True,3.0619691775308193,7.121879577606251,False,18.5,3
learned,34049,False,False,5.577011699116976,6.915977477996876,False,45.0,61
reset,34000,False,False,22.57806804649844,30.780242919891407,False,45.0,0
reset,34001,False,False,5.110275976832833,0.016349792510936823,False,45.0,0
reset,34002,False,False,22.25295305105287,30.784996032684383,False,45.0,0
reset,34003,False,False,22.738007414752527,30.8137130737,False,45.0,0
reset,34004,False,False,20.417066612415354,30.773895263641407,False,45.0,0
reset,34005,False,True,23.749518501506888,42.7073898315125,False,43.550000000000004,0
reset,34006,False,False,22.4935772227605,30.77632141110234,False,45.0,0
reset,34007,False,False,22.154581041825303,30.780830383270313,False,45.0,0
reset,34008,False,False,23.572307727446173,30.804916381805473,False,45.0,0
reset,34009,False,True,18.83545726581139,30.719390869110157,False,32.35,0
reset,34010,False,False,5.168582364759746,1.3048553466492199,False,45.0,0
reset,34011,False,True,25.696386120194195,42.722251892059376,False,40.6,0
reset,34012,False,True,25.228455223911226,43.02899932858281,False,40.900000000000006,0
reset,34013,False,False,21.421680049408177,30.783630371063282,False,45.0,0
reset,34014,False,False,4.699445726939589,1.2333602904968757,False,45.0,0
reset,34015,False,True,24.404127942779766,43.5959396362,False,42.0,0
reset,34016,False,False,22.297741157666692,30.769737243621872,False,45.0,0
reset,34017,False,True,21.20661310878408,30.67368316647344,False,37.85,0
reset,34018,False,True,20.848320764936847,30.62863922116094,False,30.75,0
reset,34019,False,False,4.7657879318476555,3.3732070923156243,False,45.0,0
